,Target,OBC,OBC,Local Var,
,PacketID,0x25,,
,Enable/Disable,ENABLE,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (��a_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,CMD17.PARAM5_SIZE,,,PACKET,152,4,4,,,
,CMD18.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+18].cmd_func),PACKET,153,0,32,HEX,,,,,,,,,
,CMD18.PARAM0_SIZE,uint8_t,,PACKET,157,0,4,,,
,CMD18.PARAM1_SIZE,,,PACKET,157,4,4,,,
,CMD18.PARAM2_SIZE,uint8_t,,PACKET,158,0,4,,,
,CMD18.PARAM3_SIZE,,,PACKET,158,4,4,,,
,CMD18.PARAM4_SIZE,uint8_t,,PACKET,159,0,4,,,
,CMD18.PARAM5_SIZE,,,PACKET,159,4,4,,,
,CMD19.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+19].cmd_func),PACKET,160,0,32,HEX,,,,,,,,,
,CMD19.PARAM0_SIZE,uint8_t,,PACKET,164,0,4,,,
,CMD19.PARAM1_SIZE,,,PACKET,164,4,4,,,
,CMD19.PARAM2_SIZE,uint8_t,,PACKET,165,0,4,,,
,CMD19.PARAM3_SIZE,,,PACKET,165,4,4,,,
,CMD19.PARAM4_SIZE,uint8_t,,PACKET,166,0,4,,,
,CMD19.PARAM5_SIZE,,,PACKET,166,4,4,,,
,CMD20.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+20].cmd_func),PACKET,167,0,32,HEX,,,,,,,,,
,CMD20.PARAM0_SIZE,uint8_t,,PACKET,171,0,4,,,
,CMD20.PARAM1_SIZE,,,PACKET,171,4,4,,,
,CMD20.PARAM2_SIZE,uint8_t,,PACKET,172,0,4,,,
,CMD20.PARAM3_SIZE,,,PACKET,172,4,4,,,
,CMD20.PARAM4_SIZE,uint8_t,,PACKET,173,0,4,,,
,CMD20.PARAM5_SIZE,,,PACKET,173,4,4,,,
,CMD21.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+21].cmd_func),PACKET,174,0,32,HEX,,,,,,,,,
,CMD21.PARAM0_SIZE,uint8_t,,PACKET,178,0,4,,,
,CMD21.PARAM1_SIZE,,,PACKET,178,4,4,,,
,CMD21.PARAM2_SIZE,uint8_t,,PACKET,179,0,4,,,
,CMD21.PARAM3_SIZE,,,PACKET,179,4,4,,,
,CMD21.PARAM4_SIZE,uint8_t,,PACKET,180,0,4,,,
,CMD21.PARAM5_SIZE,,,PACKET,180,4,4,,,
,CMD22.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+22].cmd_func),PACKET,181,0,32,HEX,,,,,,,,,
,CMD22.PARAM0_SIZE,uint8_t,,PACKET,185,0,4,,,
,CMD22.PARAM1_SIZE,,,PACKET,185,4,4,,,
,CMD22.PARAM2_SIZE,uint8_t,,PACKET,186,0,4,,,
,CMD22.PARAM3_SIZE,,,PACKET,186,4,4,,,
,CMD22.PARAM4_SIZE,uint8_t,,PACKET,187,0,4,,,
,CMD22.PARAM5_SIZE,,,PACKET,187,4,4,,,
,CMD23.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+23].cmd_func),PACKET,188,0,32,HEX,,,,,,,,,
,CMD23.PARAM0_SIZE,uint8_t,,PACKET,192,0,4,,,
,CMD23.PARAM1_SIZE,,,PACKET,192,4,4,,,
,CMD23.PARAM2_SIZE,uint8_t,,PACKET,193,0,4,,,
,CMD23.PARAM3_SIZE,,,PACKET,193,4,4,,,
,CMD23.PARAM4_SIZE,uint8_t,,PACKET,194,0,4,,,
,CMD23.PARAM5_SIZE,,,PACKET,194,4,4,,,
,CMD24.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+24].cmd_func),PACKET,195,0,32,HEX,,,,,,,,,
,CMD24.PARAM0_SIZE,uint8_t,,PACKET,199,0,4,,,
,CMD24.PARAM1_SIZE,,,PACKET,199,4,4,,,
,CMD24.PARAM2_SIZE,uint8_t,,PACKET,200,0,4,,,
,CMD24.PARAM3_SIZE,,,PACKET,200,4,4,,,
,CMD24.PARAM4_SIZE,uint8_t,,PACKET,201,0,4,,,
,CMD24.PARAM5_SIZE,,,PACKET,201,4,4,,,
,CMD25.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+25].cmd_func),PACKET,202,0,32,HEX,,,,,,,,,
,CMD25.PARAM0_SIZE,uint8_t,,PACKET,206,0,4,,,
,CMD25.PARAM1_SIZE,,,PACKET,206,4,4,,,
,CMD25.PARAM2_SIZE,uint8_t,,PACKET,207,0,4,,,
,CMD25.PARAM3_SIZE,,,PACKET,207,4,4,,,
,CMD25.PARAM4_SIZE,uint8_t,,PACKET,208,0,4,,,
,CMD25.PARAM5_SIZE,,,PACKET,208,4,4,,,
,CMD26.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+26].cmd_func),PACKET,209,0,32,HEX,,,,,,,,,
,CMD26.PARAM0_SIZE,uint8_t,,PACKET,213,0,4,,,
,CMD26.PARAM1_SIZE,,,PACKET,213,4,4,,,
,CMD26.PARAM2_SIZE,uint8_t,,PACKET,214,0,4,,,
,CMD26.PARAM3_SIZE,,,PACKET,214,4,4,,,
,CMD26.PARAM4_SIZE,uint8_t,,PACKET,215,0,4,,,
,CMD26.PARAM5_SIZE,,,PACKET,215,4,4,,,
,CMD27.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+27].cmd_func),PACKET,216,0,32,HEX,,,,,,,,,
,CMD27.PARAM0_SIZE,uint8_t,,PACKET,220,0,4,,,
,CMD27.PARAM1_SIZE,,,PACKET,220,4,4,,,
,CMD27.PARAM2_SIZE,uint8_t,,PACKET,221,0,4,,,
,CMD27.PARAM3_SIZE,,,PACKET,221,4,4,,,
,CMD27.PARAM4_SIZE,uint8_t,,PACKET,222,0,4,,,
,CMD27.PARAM5_SIZE,,,PACKET,222,4,4,,,
,CMD28.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+28].cmd_func),PACKET,223,0,32,HEX,,,,,,,,,
,CMD28.PARAM0_SIZE,uint8_t,,PACKET,227,0,4,,,
,CMD28.PARAM1_SIZE,,,PACKET,227,4,4,,,
,CMD28.PARAM2_SIZE,uint8_t,,PACKET,228,0,4,,,
,CMD28.PARAM3_SIZE,,,PACKET,228,4,4,,,
,CMD28.PARAM4_SIZE,uint8_t,,PACKET,229,0,4,,,
,CMD28.PARAM5_SIZE,,,PACKET,229,4,4,,,
,CMD29.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+29].cmd_func),PACKET,230,0,32,HEX,,,,,,,,,
,CMD29.PARAM0_SIZE,uint8_t,,PACKET,234,0,4,,,
,CMD29.PARAM1_SIZE,,,PACKET,234,4,4,,,
,CMD29.PARAM2_SIZE,uint8_t,,PACKET,235,0,4,,,
,CMD29.PARAM3_SIZE,,,PACKET,235,4,4,,,
,CMD29.PARAM4_SIZE,uint8_t,,PACKET,236,0,4,,,
,CMD29.PARAM5_SIZE,,,PACKET,236,4,4,,,
,CMD30.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+30].cmd_func),PACKET,237,0,32,HEX,,,,,,,,,
,CMD30.PARAM0_SIZE,uint8_t,,PACKET,241,0,4,,,
,CMD30.PARAM1_SIZE,,,PACKET,241,4,4,,,
,CMD30.PARAM2_SIZE,uint8_t,,PACKET,242,0,4,,,
,CMD30.PARAM3_SIZE,,,PACKET,242,4,4,,,
,CMD30.PARAM4_SIZE,uint8_t,,PACKET,243,0,4,,,
,CMD30.PARAM5_SIZE,,,PACKET,243,4,4,,,
,CMD31.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+31].cmd_func),PACKET,244,0,32,HEX,,,,,,,,,
,CMD31.PARAM0_SIZE,uint8_t,,PACKET,248,0,4,,,
,CMD31.PARAM1_SIZE,,,PACKET,248,4,4,,,
,CMD31.PARAM2_SIZE,uint8_t,,PACKET,249,0,4,,,
,CMD31.PARAM3_SIZE,,,PACKET,249,4,4,,,
,CMD31.PARAM4_SIZE,uint8_t,,PACKET,250,0,4,,,
,CMD31.PARAM5_SIZE,,,PACKET,250,4,4,,,
